#LIBRARY    JENDL-5
#REACTION   CR-50(N,G)CR-51,SIG
#NUCLEUS    Cr-50
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 5.04642487e+00 1.083428 Lin-Lin
 5.56639290e+00 1.030901 Lin-Lin
 6.13993740e+00 0.980859 Lin-Lin
 6.77257776e+00 0.933181 Lin-Lin
 7.47040319e+00 0.887751 Lin-Lin
 8.24013042e+00 0.844459 Lin-Lin
 9.08916855e+00 0.803200 Lin-Lin
 1.00256891e+01 0.763876 Lin-Lin
 1.10587053e+01 0.726391 Lin-Lin
 1.21981611e+01 0.690656 Lin-Lin
 1.34550219e+01 0.656587 Lin-Lin
 1.48413868e+01 0.624105 Lin-Lin
 1.63705978e+01 0.593133 Lin-Lin
 1.80573750e+01 0.563601 Lin-Lin
 1.99179516e+01 0.535440 Lin-Lin
 2.19702358e+01 0.508587 Lin-Lin
 2.42339821e+01 0.482981 Lin-Lin
 2.67309780e+01 0.458561 Lin-Lin
 2.94852562e+01 0.435272 Lin-Lin
 3.25233269e+01 0.413056 Lin-Lin
 3.56248894e+01 0.393312 Lin-Lin
 3.92955704e+01 0.373028 Lin-Lin
 4.30408516e+01 0.355009 Lin-Lin
 4.74756508e+01 0.336491 Lin-Lin
 5.20031281e+01 0.320035 Lin-Lin
 5.69595757e+01 0.304308 Lin-Lin
 6.28285141e+01 0.288135 Lin-Lin
 6.88201141e+01 0.273792 Lin-Lin
 7.53793945e+01 0.260099 Lin-Lin
 8.25678940e+01 0.247008 Lin-Lin
 9.04374771e+01 0.234506 Lin-Lin
 9.90619812e+01 0.222563 Lin-Lin
 1.08503632e+02 0.211172 Lin-Lin
 1.18851006e+02 0.200306 Lin-Lin
 1.30178757e+02 0.189963 Lin-Lin
 1.41594330e+02 0.180841 Lin-Lin
 1.55097366e+02 0.171455 Lin-Lin
 1.69879791e+02 0.162569 Lin-Lin
 1.84776810e+02 0.154794 Lin-Lin
 2.00980179e+02 0.147392 Lin-Lin
 2.18604446e+02 0.140356 Lin-Lin
 2.37774216e+02 0.133693 Lin-Lin
 2.58625031e+02 0.127438 Lin-Lin
 2.81304260e+02 0.121528 Lin-Lin
 3.05972260e+02 0.115957 Lin-Lin
 3.32801788e+02 0.110723 Lin-Lin
 3.61985687e+02 0.105865 Lin-Lin
 3.93728790e+02 0.101327 Lin-Lin
 4.27817657e+02 0.097150 Lin-Lin
 4.64052460e+02 0.093347 Lin-Lin
 5.07601837e+02 0.089518 Lin-Lin
 5.51358459e+02 0.086300 Lin-Lin
 6.02246033e+02 0.083173 Lin-Lin
 6.57862488e+02 0.080367 Lin-Lin
 7.18579834e+02 0.077883 Lin-Lin
 7.84939514e+02 0.075719 Lin-Lin
 8.63433472e+02 0.073758 Lin-Lin
 9.49776855e+02 0.072182 Lin-Lin
 1.04475452e+03 0.071007 Lin-Lin
 1.14892200e+03 0.070259 Lin-Lin
 1.26381421e+03 0.069970 Lin-Lin
 1.39019568e+03 0.070196 Lin-Lin
 1.52921521e+03 0.071013 Lin-Lin
 1.67272559e+03 0.072430 Lin-Lin
 1.80419202e+03 0.074214 Lin-Lin
 1.94338867e+03 0.076557 Lin-Lin
 2.08609009e+03 0.079533 Lin-Lin
 2.22768774e+03 0.083038 Lin-Lin
 2.36208521e+03 0.086952 Lin-Lin
 2.49756226e+03 0.091523 Lin-Lin
 2.61649390e+03 0.096115 Lin-Lin
 2.74296460e+03 0.101668 Lin-Lin
 2.84947559e+03 0.106945 Lin-Lin
 2.95009692e+03 0.112527 Lin-Lin
 3.05096045e+03 0.118702 Lin-Lin
 3.14393530e+03 0.125100 Lin-Lin
 3.21993140e+03 0.130803 Lin-Lin
 3.31057227e+03 0.138211 Lin-Lin
 3.40490210e+03 0.146852 Lin-Lin
 3.49601416e+03 0.156137 Lin-Lin
 3.58434644e+03 0.166145 Lin-Lin
 3.67019897e+03 0.176958 Lin-Lin
 3.75605151e+03 0.188990 Lin-Lin
 3.83068530e+03 0.200531 Lin-Lin
 3.91778223e+03 0.215537 Lin-Lin
 3.98563477e+03 0.228492 Lin-Lin
 4.05348730e+03 0.242690 Lin-Lin
 4.12133984e+03 0.258275 Lin-Lin
 4.19768701e+03 0.277671 Lin-Lin
 4.25734619e+03 0.294398 Lin-Lin
 4.32629785e+03 0.315540 Lin-Lin
 4.39525000e+03 0.338890 Lin-Lin
 4.46420215e+03 0.364688 Lin-Lin
 4.52963525e+03 0.391629 Lin-Lin
 4.59063184e+03 0.419222 Lin-Lin
 4.65014844e+03 0.448352 Lin-Lin
 4.70966504e+03 0.480203 Lin-Lin
 4.77083936e+03 0.515415 Lin-Lin
 4.83284277e+03 0.554221 Lin-Lin
 4.91085156e+03 0.606838 Lin-Lin
